grunnkrets_id,year,couple_children_0_to_5_years,couple_children_18_or_above,couple_children_6_to_17_years,couple_without_children,single_parent_children_0_to_5_years,single_parent_children_18_or_above,single_parent_children_6_to_17_years,singles
5290402,2015,4,0,19,10,0,4,0,9
19420307,2015,0,10,8,14,0,4,0,27
4280604,2015,0,0,0,14,0,4,0,8
16530606,2015,19,6,22,16,0,4,0,6
12410206,2015,0,0,8,18,0,4,0,9
1190104,2015,18,0,21,20,0,4,0,8
4260304,2015,0,0,0,24,0,4,0,16
18500105,2015,23,22,14,30,0,4,0,29
16011110,2015,33,23,83,46,0,4,0,51
6310109,2015,14,9,24,20,5,5,0,7
15390205,2015,19,0,22,14,0,6,0,17
19250103,2015,11,0,20,16,0,6,0,21
19240404,2015,17,0,26,24,0,6,0,13
16570102,2015,50,9,26,30,0,6,0,15
18120103,2015,23,15,24,36,0,6,0,28
3010105,2015,16,0,4,120,9,6,0,302
15660503,2015,8,18,38,20,0,7,0,20
14390301,2015,40,12,80,66,0,7,0,33
15570202,2015,28,24,62,36,0,8,0,30
16014222,2015,127,26,107,92,5,8,0,129
5340306,2015,35,12,30,34,0,9,0,50
10320103,2015,25,6,46,34,0,10,0,26
12230115,2015,49,22,28,54,6,10,0,25
5150106,2015,38,38,29,42,0,11,0,33
4290203,2015,17,19,39,46,0,11,0,30
2191602,2015,50,13,14,22,4,17,0,69
11031813,2015,0,0,0,0,0,0,0,3
14170111,2015,0,0,0,0,0,0,0,4
14260105,2015,0,0,0,0,0,0,0,5
16170104,2015,0,0,0,0,0,0,0,3
19020205,2015,0,0,0,0,0,0,0,0
20030403,2015,0,0,0,0,0,0,0,6
3014802,2015,0,0,0,0,0,0,0,3
2191017,2015,0,0,22,4,0,0,0,13
18660207,2015,10,0,0,6,0,0,0,8
6020917,2015,0,0,0,6,0,0,0,12
16120209,2015,9,0,7,8,0,0,0,7
19260107,2015,7,20,9,8,0,0,0,21
6020906,2015,13,0,12,8,0,0,0,7
18540121,2015,0,9,14,10,0,0,0,5
7040111,2015,0,9,11,10,0,0,0,11
9370207,2015,0,4,16,10,0,0,0,3
11340308,2015,0,0,20,12,0,0,0,8
19020101,2015,9,7,0,12,0,0,0,24
4120723,2015,22,0,15,12,0,0,0,10
12350805,2015,0,11,0,14,0,0,0,3
18540125,2015,0,0,0,14,0,0,0,14
9120108,2015,12,10,12,14,0,0,0,5
15250113,2015,0,6,12,16,0,0,0,14
4020508,2015,10,12,17,16,0,0,0,14
16440105,2015,0,13,22,18,0,0,0,22
18120111,2015,13,12,39,18,0,0,0,18
5400108,2015,12,21,31,18,0,0,0,18
12530104,2015,27,0,30,20,0,0,0,20
6280207,2015,0,15,12,20,0,0,0,12
2191127,2015,21,10,65,22,0,0,0,13
18150107,2015,0,0,14,24,0,0,0,17
4340101,2015,0,20,36,24,0,0,0,15
12230102,2015,0,12,4,26,0,0,0,19
17020101,2015,16,9,46,28,0,0,0,9
10030113,2015,60,6,68,30,0,0,0,18
18050103,2015,25,13,13,30,0,0,0,20
12530207,2015,12,0,37,32,0,0,0,16
15660401,2015,11,18,22,32,0,0,0,13
4270504,2015,51,9,31,32,0,0,0,16
11600206,2015,16,14,25,38,15,0,0,12
4120605,2015,17,15,40,38,0,0,0,24
5150202,2015,30,12,29,40,0,0,0,8
18050902,2015,22,0,9,50,0,0,0,27
2310603,2015,34,27,119,52,0,0,0,27
7160309,2015,36,32,15,58,6,0,0,9
10020607,2015,40,16,72,60,0,0,0,25
5130102,2015,19,14,0,18,0,4,0,13
14300109,2015,21,17,24,20,0,4,0,19
5110109,2015,9,6,20,20,0,4,0,18
14160302,2015,4,0,10,22,0,4,0,12
18040312,2015,0,0,0,22,0,4,0,18
1064303,2015,16,12,24,26,0,4,0,16
12350104,2015,19,13,13,32,0,4,0,14
15340101,2015,0,13,0,52,0,4,0,27
9140403,2015,22,25,25,54,0,4,0,40
7190304,2015,20,12,11,10,0,5,0,13
8170208,2015,24,13,21,22,0,5,0,14
18500118,2015,7,0,0,30,0,6,0,25
2270303,2015,28,25,50,56,0,6,0,29
18600113,2015,0,9,14,20,0,7,0,15
18180109,2015,4,10,0,14,5,8,0,15
8310107,2015,23,10,24,16,6,8,0,18
11490501,2015,45,29,40,50,0,8,0,32
10010502,2015,76,19,58,54,0,8,0,67
14490104,2015,36,13,27,24,0,9,0,22
19240101,2015,32,0,36,36,0,9,0,23
14110104,2015,0,0,0,0,0,0,0,3
14310207,2015,0,0,18,0,0,0,0,3
16014504,2015,0,0,0,0,0,0,0,0
16530209,2015,0,0,0,0,0,0,0,3
18380106,2015,0,0,0,0,0,0,0,6
19250101,2015,0,0,0,0,0,0,0,6
2330412,2015,0,0,0,0,0,0,0,18
4380210,2015,0,0,10,0,0,0,0,0
19310602,2015,0,0,0,4,0,0,0,8
12410103,2015,7,0,0,6,0,0,0,5
18650306,2015,6,9,0,6,0,0,0,3
11600305,2015,11,0,0,8,0,0,0,8
18220107,2015,0,0,0,8,0,0,0,9
9370101,2015,14,0,13,8,0,0,0,12
14200105,2015,0,0,13,10,0,0,0,9
19130203,2015,12,6,13,10,0,0,0,8
5200203,2015,0,13,21,10,0,0,0,12
6190204,2015,0,0,0,10,0,0,0,7
8110107,2015,0,0,17,10,0,0,0,12
14010109,2015,0,0,6,12,0,0,0,3
4230504,2015,0,0,8,12,0,0,0,6
9280206,2015,27,0,25,12,0,0,0,3
1240301,2015,34,4,18,14,0,0,0,3
14010202,2015,9,17,4,14,0,0,0,14
15350103,2015,0,15,15,14,0,0,0,8
18110108,2015,0,0,0,16,0,0,0,7
18330604,2015,0,9,4,18,0,0,0,16
10260101,2015,33,9,46,20,0,0,0,33
14280112,2015,24,4,34,20,0,0,0,13
2192116,2015,40,15,95,20,0,0,0,28
8051108,2015,33,10,20,22,0,0,0,11
12280301,2015,0,0,7,24,0,0,0,7
18330805,2015,0,6,4,26,0,0,0,8
2260201,2015,0,15,37,26,0,0,0,10
14260307,2015,24,10,16,30,0,0,0,17
11200101,2015,11,6,43,32,0,0,0,17
20300302,2015,51,19,40,34,0,0,0,61
5320101,2015,18,13,23,34,0,0,0,11
12600208,2015,38,6,46,36,0,0,0,32
9110206,2015,13,10,32,36,0,0,0,22
5360503,2015,18,6,17,38,0,0,0,63
14170115,2015,17,18,39,40,0,0,0,30
16240202,2015,13,16,26,40,0,0,0,19
12640103,2015,22,15,25,42,0,0,0,24
9064303,2015,36,40,53,42,0,0,0,29
16630309,2015,25,30,43,60,0,0,0,37
16011205,2015,9,0,0,90,0,0,0,152
8170104,2015,11,7,23,16,0,4,0,17
11140106,2015,31,17,16,22,0,4,0,13
4290302,2015,11,9,0,22,0,4,0,19
5130104,2015,12,21,22,24,0,4,0,16
11410115,2015,14,9,0,30,0,4,0,24
17420112,2015,17,0,11,14,0,5,0,11
11340303,2015,81,20,77,78,0,5,0,29
20120605,2015,7,9,20,20,0,6,0,18
18220112,2015,0,0,0,22,0,6,0,8
12350705,2015,9,29,21,28,0,6,0,31
7060701,2015,0,17,17,28,0,6,0,37
11020805,2015,53,13,28,34,0,6,0,18
16340108,2015,28,10,19,36,0,6,0,27
5200102,2015,27,27,45,40,4,6,0,34
15020707,2015,31,20,41,44,0,6,0,27
8190105,2015,16,9,32,48,0,6,0,13
17380101,2015,0,7,26,8,0,8,0,20
20040512,2015,12,10,13,10,0,8,0,20
19240305,2015,24,12,12,28,0,9,0,19
19400202,2015,10,0,10,16,0,10,0,14
19023307,2015,18,21,39,40,0,12,0,46
11060907,2015,8,0,0,0,0,0,0,5
11110106,2015,5,0,0,0,0,0,0,4
18340111,2015,0,0,0,0,0,0,0,3
18400204,2015,0,0,0,0,0,0,0,4
5190208,2015,0,6,11,0,0,0,0,6
11340204,2015,0,0,4,4,0,0,0,7
12320107,2015,0,0,0,4,0,0,0,5
10040414,2015,10,0,8,8,0,0,0,8
11210401,2015,0,0,8,8,0,0,0,7
16014228,2015,0,0,0,8,0,0,0,3
16130104,2015,0,0,0,8,0,0,0,8
17180110,2015,9,9,0,8,0,0,0,5
18660406,2015,0,10,10,8,0,0,0,14
19330308,2015,0,5,0,8,0,0,0,11
4170513,2015,0,0,7,8,0,0,0,4
14390101,2015,0,0,0,10,0,0,0,4
1061110,2015,24,0,12,12,0,0,0,6
11020907,2015,0,0,0,12,0,0,0,5
4120922,2015,14,14,39,12,0,0,0,7
19430113,2015,0,8,0,14,0,0,0,8
7060306,2015,0,0,8,14,0,0,0,3
16018113,2015,0,0,0,16,0,0,0,4
19030706,2015,15,18,0,16,5,0,0,15
3015805,2015,0,0,0,16,0,0,0,11
11240301,2015,20,15,14,18,0,0,0,21
16120201,2015,26,0,9,18,0,0,0,3
2191020,2015,26,32,27,18,0,0,0,26
5110203,2015,8,0,29,18,0,0,0,7
17510304,2015,0,0,13,20,0,0,0,15
20270104,2015,22,12,8,20,0,0,0,26
16014218,2015,10,12,15,22,0,0,0,17
12110206,2015,7,6,15,24,0,0,0,9
15470105,2015,12,7,14,24,0,0,0,14
12240307,2015,27,9,25,26,0,0,0,12
18240415,2015,24,18,29,28,6,0,0,18
15470110,2015,20,9,12,32,0,0,0,18
4320203,2015,24,10,13,32,0,0,0,49
14490404,2015,21,12,39,34,0,0,0,28
11330102,2015,27,13,31,36,0,0,0,27
14450106,2015,41,10,29,38,0,0,0,13
6260902,2015,38,10,36,40,0,0,0,31
4290204,2015,16,0,26,54,0,0,0,33
18370102,2015,19,18,39,60,0,0,0,30
1360208,2015,39,27,69,68,8,0,0,38
6050804,2015,39,18,24,68,0,0,0,28
16012118,2015,10,6,29,90,0,0,0,141
4410110,2015,9,17,13,12,0,4,0,6
9380104,2015,0,7,0,14,0,4,0,5
10040105,2015,0,6,14,16,0,4,0,18
15390306,2015,15,7,30,20,0,4,0,20
1190101,2015,12,10,18,22,0,4,0,9
14180106,2015,0,9,29,22,0,4,0,13
15480701,2015,8,17,28,24,0,4,0,13
20200204,2015,38,13,41,26,0,4,0,31
11190201,2015,43,16,33,30,0,4,0,18
15190304,2015,20,18,24,30,0,4,0,13
17210601,2015,15,9,56,34,0,4,0,28
5021302,2015,20,29,33,34,0,4,0,30
7061013,2015,32,27,20,36,0,4,0,32
5021106,2015,35,27,30,66,0,4,0,25
11220304,2015,0,7,16,14,0,5,0,11
16120202,2015,17,18,47,20,0,6,0,21
19110201,2015,23,0,17,26,7,6,0,17
18710207,2015,19,0,30,32,0,6,0,20
8050104,2015,15,19,22,36,0,6,0,31
4120802,2015,75,19,63,52,0,6,0,39
2160601,2015,16,0,14,58,4,6,0,131
5140202,2015,32,41,41,66,0,6,0,23
16210103,2015,18,24,43,20,6,7,0,41
15660306,2015,0,24,30,34,0,7,0,12
12310104,2015,16,20,39,46,0,7,0,22
11010502,2015,40,13,73,58,4,7,0,34
17360113,2015,28,6,11,20,0,8,0,23
16480306,2015,28,10,35,28,0,8,0,17
2390105,2015,40,13,58,30,8,8,0,32
4230402,2015,29,26,28,40,0,8,0,38
5280507,2015,48,46,33,74,0,8,0,42
12010138,2015,47,7,43,146,13,8,0,292
19290102,2015,32,12,47,28,4,10,0,42
12210208,2015,0,0,0,0,0,0,0,0
12240412,2015,0,0,0,0,0,0,0,6
18390101,2015,0,0,0,0,0,0,0,3
19024505,2015,0,0,0,0,0,0,0,0
19310107,2015,0,0,11,0,0,0,0,0
5400113,2015,0,0,0,0,0,0,0,3
2170309,2015,0,0,0,4,0,0,0,4
2191218,2015,0,0,0,4,0,0,0,6
11060506,2015,0,0,0,6,0,0,0,29
12510208,2015,0,0,0,6,0,0,0,3
15730102,2015,0,0,8,6,0,0,0,6
10170204,2015,13,0,0,8,0,0,0,11
11120102,2015,8,13,14,8,0,0,0,10
16011106,2015,0,7,0,8,0,0,0,4
18040718,2015,0,0,8,8,0,0,0,3
2190523,2015,27,0,20,8,0,0,0,15
4120504,2015,0,0,22,10,6,0,0,11
9010103,2015,0,0,0,10,0,0,0,3
14260201,2015,16,0,0,12,0,0,0,9
19240113,2015,0,0,0,12,0,0,0,10
4360103,2015,8,10,14,12,0,0,0,5
19024002,2015,25,6,12,14,0,0,0,14
6050907,2015,0,0,8,14,0,0,0,10
10020803,2015,7,0,8,16,0,0,0,26
19240110,2015,4,0,28,16,0,0,0,13
7090501,2015,0,10,24,16,0,0,0,16
18260109,2015,16,0,7,18,0,0,0,13
4121402,2015,0,0,14,18,0,0,0,13
5020501,2015,19,14,13,18,0,0,0,10
7090505,2015,11,0,0,20,0,0,0,58
16013223,2015,12,15,25,22,0,0,0,19
15660504,2015,30,12,16,24,0,0,0,11
12380406,2015,28,12,41,28,0,0,0,42
1250204,2015,31,0,27,30,0,0,0,8
14300103,2015,23,6,27,34,0,0,0,33
16170111,2015,33,20,63,34,0,0,0,37
12630106,2015,0,0,28,36,0,0,0,19
14490209,2015,35,0,25,36,0,0,0,25
17210610,2015,27,0,41,36,0,0,0,20
2360101,2015,34,12,28,42,0,0,0,18
4180102,2015,32,17,35,42,0,0,0,29
14390102,2015,42,10,50,44,0,0,0,17
7010402,2015,34,13,42,44,0,0,0,109
12510302,2015,26,10,25,46,0,0,0,32
6170204,2015,13,19,37,46,0,0,0,25
12240905,2015,19,9,36,50,0,0,0,18
5280104,2015,31,23,43,50,0,0,0,34
15430111,2015,19,25,44,52,5,0,0,25
2310601,2015,0,7,0,60,0,0,0,85
15730106,2015,34,15,58,66,0,0,0,41
1350106,2015,46,33,76,68,5,0,0,38
7010102,2015,32,13,22,32,6,4,0,25
15320101,2015,29,28,36,48,0,4,0,29
16360202,2015,24,13,34,50,0,4,0,27
11440103,2015,48,23,35,52,0,4,0,17
18700206,2015,43,33,61,60,6,4,0,26
12420102,2015,49,19,39,94,0,4,0,26
16011418,2015,20,0,0,134,0,4,0,117
12330105,2015,18,0,0,12,0,5,0,7
11340310,2015,16,0,18,10,0,6,0,12
12350204,2015,48,34,20,20,0,6,0,21
14260211,2015,19,21,16,20,5,6,0,18
19240111,2015,13,6,9,20,0,6,0,12
18670101,2015,7,6,15,24,7,6,0,22
1220306,2015,27,16,32,36,0,6,0,24
5020710,2015,46,22,50,108,7,6,0,152
19023309,2015,0,15,0,6,0,7,0,12
12270102,2015,18,0,14,24,0,7,0,14
18041202,2015,22,21,23,42,0,7,0,25
19170102,2015,0,9,7,44,11,7,0,24
12600202,2015,33,4,24,24,0,8,0,18
18450203,2015,0,12,0,24,0,8,0,13
15170302,2015,16,18,20,38,0,8,0,9
15310102,2015,47,18,69,44,9,8,0,30
1064306,2015,48,21,98,92,0,8,0,38
12630109,2015,86,18,28,64,0,9,0,30
17190802,2015,102,27,60,70,0,10,0,64
6160102,2015,24,45,85,82,4,10,0,51
5220101,2015,10,18,48,30,0,14,0,26
1040214,2015,0,5,0,0,0,0,0,3
14440105,2015,0,0,0,0,0,0,0,3
16400104,2015,0,0,0,0,0,0,0,0
18740105,2015,0,0,0,0,0,0,0,3
2130509,2015,0,0,0,0,0,0,0,3
2140229,2015,4,0,0,0,0,0,0,3
3013709,2015,0,0,11,0,0,0,0,4
4200308,2015,0,0,0,0,0,0,0,4
5420211,2015,0,0,0,0,0,0,0,3
8060702,2015,4,0,0,0,0,0,0,7
1280217,2015,0,0,4,4,0,0,0,0
11031216,2015,0,0,8,6,0,0,0,4
11600502,2015,0,9,4,6,0,0,0,7
18270101,2015,0,0,0,6,0,0,0,4
18540126,2015,0,0,0,6,0,0,0,7
6021014,2015,9,0,0,8,0,0,0,13
11410118,2015,12,0,4,10,0,0,0,5
12330103,2015,10,17,16,10,0,0,0,12
15670101,2015,0,0,24,10,0,0,0,9
18370104,2015,0,0,7,10,0,0,0,5
19360112,2015,0,0,0,10,0,0,0,14
4290208,2015,9,0,18,10,0,0,0,7
14490102,2015,0,14,22,12,0,0,0,19
15200405,2015,0,0,0,12,0,0,0,11
16220103,2015,5,10,0,12,0,0,0,6
19430111,2015,0,0,14,12,0,0,0,22
16014503,2015,9,0,0,14,0,0,0,3
18041201,2015,17,9,0,14,0,0,0,18
19110206,2015,13,0,0,14,0,0,0,4
11020606,2015,7,0,16,16,0,0,0,6
16300203,2015,12,9,6,16,0,0,0,10
3014117,2015,26,7,25,16,0,0,0,5
6120102,2015,11,13,8,16,0,0,0,11
15110207,2015,9,12,16,18,0,0,0,29
16170211,2015,13,9,15,18,0,0,0,20
19280107,2015,5,0,0,18,0,0,0,0
5410103,2015,14,6,16,18,0,0,0,49
16011421,2015,18,0,9,20,0,0,0,16
18510109,2015,0,0,19,22,0,0,0,3
17360110,2015,26,11,20,24,0,0,0,11
18050102,2015,14,12,26,24,0,0,0,22
2110225,2015,9,15,13,24,0,0,0,20
7061004,2015,7,18,13,24,0,0,0,17
2330401,2015,21,21,24,28,0,0,0,22
14110204,2015,8,10,4,30,0,0,0,13
19330110,2015,16,9,25,30,0,0,0,20
9010106,2015,40,0,35,30,0,0,0,20
18340107,2015,6,18,16,32,0,0,0,26
18710202,2015,10,9,27,32,0,0,0,26
17380108,2015,9,6,32,34,0,0,0,23
4290107,2015,23,9,46,34,0,0,0,22
17500108,2015,19,23,58,36,6,0,0,17
18660301,2015,10,9,29,36,0,0,0,12
1190105,2015,40,12,26,38,0,0,0,14
15150204,2015,16,19,54,48,0,0,0,16
15460101,2015,26,17,63,54,0,0,0,33
19310605,2015,0,0,0,0,0,4,0,0
15110206,2015,0,8,0,24,0,4,0,9
19200106,2015,20,0,0,24,5,4,0,18
15510102,2015,38,0,16,28,0,4,0,24
8060815,2015,12,0,13,30,15,4,0,80
15480204,2015,32,25,45,38,0,4,0,28
15630402,2015,0,20,40,44,0,4,0,5
11030501,2015,10,0,6,72,6,4,0,132
12510307,2015,0,9,24,12,0,6,0,11
4200506,2015,23,0,7,14,0,6,0,7
6050904,2015,7,9,0,16,0,6,0,30
5160405,2015,20,13,24,20,4,6,0,27
18540111,2015,9,4,18,30,7,6,0,24
12350301,2015,28,28,16,32,0,6,0,22
14390205,2015,144,24,81,88,0,6,0,43
11200201,2015,21,29,72,26,0,7,0,40
16340207,2015,35,18,44,44,0,7,0,28
2190608,2015,89,37,124,48,13,7,0,57
14260110,2015,34,7,30,22,0,8,0,14
14280110,2015,26,16,33,56,8,8,0,20
9040308,2015,70,30,43,24,0,9,0,29
6330106,2015,35,13,49,42,0,10,0,20
8051004,2015,0,7,16,102,0,12,0,112
16015117,2015,0,0,0,0,0,0,0,0
2190817,2015,0,0,0,0,0,0,0,3
2191715,2015,0,0,0,0,0,0,0,4
4030511,2015,0,0,0,0,0,0,0,3
14220112,2015,0,0,0,4,0,0,0,3
16014231,2015,0,0,9,4,0,0,0,0
4230302,2015,0,0,4,4,5,0,0,5
9380103,2015,0,0,0,4,0,0,0,5
1360305,2015,0,0,0,6,0,0,0,25
16012103,2015,0,0,0,6,0,0,0,9
18110103,2015,0,0,0,6,0,0,0,7
5410111,2015,0,0,9,6,0,0,0,6
10260108,2015,0,0,10,8,0,0,0,4
19400106,2015,0,0,0,8,0,0,0,10
20200102,2015,0,0,0,8,0,0,0,8
3013214,2015,0,0,0,10,0,0,0,24
4390107,2015,20,0,0,10,0,0,0,10
10170403,2015,39,6,11,12,0,0,0,25
12010512,2015,0,0,0,12,0,0,0,100
7160103,2015,17,0,14,12,0,0,0,10
12330101,2015,5,0,0,14,0,0,0,3
17400101,2015,4,0,0,14,0,0,0,10
2310623,2015,27,0,51,14,0,0,0,3
12280403,2015,0,6,13,16,0,0,0,10
17510106,2015,13,0,19,16,0,0,0,5
18280103,2015,9,0,0,16,0,0,0,13
9065204,2015,19,0,30,16,0,0,0,31
18240404,2015,17,12,21,20,0,0,0,20
12190105,2015,0,10,9,22,0,0,0,14
16014118,2015,24,9,17,22,0,0,0,30
5120106,2015,15,9,24,22,0,0,0,21
5330301,2015,0,0,8,22,0,0,0,10
5410107,2015,0,0,26,22,0,0,0,19
14280102,2015,33,12,28,24,0,0,0,16
6190105,2015,31,18,49,24,0,0,0,27
8060509,2015,8,0,7,24,0,0,0,8
16530401,2015,30,9,22,26,0,0,0,17
9110102,2015,0,4,21,26,0,0,0,10
11020707,2015,10,8,37,28,0,0,0,16
11460204,2015,13,21,26,28,0,0,0,11
12220106,2015,38,9,17,28,4,0,0,11
18600203,2015,41,21,34,28,0,0,0,21
2260409,2015,42,19,45,28,0,0,0,22
11460107,2015,31,18,25,30,0,0,0,18
17240101,2015,25,7,20,30,0,0,0,8
12410112,2015,0,22,49,32,0,0,0,21
4280507,2015,11,9,23,34,0,0,0,26
12310102,2015,19,17,27,38,0,0,0,31
12350203,2015,26,22,37,38,0,0,0,19
15570102,2015,16,13,40,40,0,0,0,24
16014311,2015,10,0,0,42,0,0,0,17
6230310,2015,30,24,42,46,7,0,0,34
10170401,2015,47,16,43,48,0,0,0,33
17510109,2015,28,19,69,48,5,0,0,29
17190305,2015,27,9,36,50,0,0,0,18
4020119,2015,37,20,38,56,0,0,0,20
2191801,2015,55,24,83,58,0,0,0,24
2191416,2015,0,6,10,94,0,0,0,58
12010216,2015,34,6,21,132,0,0,0,186
19023302,2015,0,17,0,18,0,4,0,13
15110201,2015,8,12,0,24,0,4,0,23
18041103,2015,43,9,34,56,0,4,0,22
10170203,2015,0,0,0,14,0,5,0,4
14430102,2015,5,10,9,16,0,5,0,11
5430101,2015,17,0,8,16,0,5,0,10
14010105,2015,0,17,29,32,0,5,0,24
20180124,2015,0,0,0,0,0,6,0,17
6190203,2015,33,0,46,50,0,6,0,26
7041302,2015,13,0,0,44,0,7,0,116
15350305,2015,45,22,54,70,0,7,0,44
19130206,2015,0,0,0,8,0,8,0,12
2190307,2015,15,10,19,28,0,8,0,26
6330109,2015,22,15,26,38,0,8,0,18
14260203,2015,25,30,43,58,0,8,0,33
8060903,2015,29,72,62,104,0,8,0,38
16480311,2015,18,18,0,12,0,9,0,18
12010125,2015,68,23,39,162,0,9,0,249
10460110,2015,18,23,17,18,0,11,0,18
